product_id,product_url,product_name,review_title,review_content,review_date
11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,SpeedTest,,works perfectly fine for school and work,15 days ago.
11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,SpeedTest,Poor,Keeps spiking to 100% and giving major performance drops with the standard components in the HP laptop I own.,7 months ago.
11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,SpeedTest,Excellent,"great processor for basic functions, meets everything I need",4 months ago.
11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,https://cpu.userbenchmark.com/SpeedTest/1333512/11th-Gen-IntelR-CoreTM-i3-1115G4---300GHz,SpeedTest,Average,"2C 4T mobile CPU. Base clock of 1.7Ghz, turbo up to 4.1Ghz. Able to handle all of the daily task.",3 years ago.
11th-Gen-IntelR-CoreTM-i5-1130G7---110GHz,https://cpu.userbenchmark.com/SpeedTest/1418235/11th-Gen-IntelR-CoreTM-i5-1130G7---110GHz,SpeedTest,,,23 months ago.
11th-Gen-IntelR-CoreTM-i5-1130G7---110GHz,https://cpu.userbenchmark.com/SpeedTest/1418235/11th-Gen-IntelR-CoreTM-i5-1130G7---110GHz,SpeedTest,Excellent,"11th Gen i5 with 4C 8T. Base clock of 1.8Ghz, turbo up to 4Ghz. Even with TDP of 15W, single core can evenly match up with 45W gaming purpose H series CPU, thanks to it's 8mb catch. However, multicore is it's weak point. With Iris G7 iGPU, this CPU can handle Android emulator games with about 40~60 fps. If you are looking for a cheap, nice and quiet emulator machine, this one could be an option.",2 years ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,,,11 days ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Excellent,"Excellent, i have an acer laptop of it",7 days ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Poor,"naturally its not the best one out there, but it works great for for a CompEng student like me without a hitch",1 day ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Good,it's the best cpu that i have used,6 months ago.
